index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
1044,Masala - Rajma,"Foodgrains, Oil & Masala",Masalas & Spices,Roopak,140,140,Blended Masalas,2,"Rajma-Chawal, a household preparation that almost everyone savours in North India, can now be prepared in the most authentic style using Roopaks Rajma Masala!"
1045,Veggie Wash,Cleaning & Household,All Purpose Cleaners,Dabur,144.5,289,Disinfectant Spray & Cleaners,3.8,"Dabur Veggie wash combined with the rich experience of Dabur safely and effectively removes germs, bacteria, fungus and dirt found on the surface of the fruits and vegetable. With 100 % safe ingredients, it is an effective and safe solution with no added preservative, smell or residue that gives a hygienic shield to fruits and vegetables making it healthier for your consumption. It safeguards your family's health and cleans the fruits and vegetables instantly."
1046,Thai Premium Jasmine Rice,Gourmet & World Food,"Pasta, Soup & Noodles",Blue Elephant,427.5,475,Jasmine & Sushi Rice,4.5,"Thai jasmine rice has been crowned the world best rice variety for its flavour and fragrance for several consecutive years by the international rice trace convention! It has the best aroma, taste, texture, and shape which wins over everybody’s hearts. Long grains, which become soft and slightly sticky when cooked, go perfectly with Thai cuisine and curries as they subtly highlight their taste. Jasmine rice goes good with both Veg and Non-veg preparations. To make sure you get the best of it, we at Blue Elephant source exclusively 100% Thai Jasmine rice thanks to a precise sorting process. Although Thai Jasmine Rice is grown in many parts of Thailand, we thrive to source it mainly from Isaan (North East of Thailand), in the Surin province, where the soil makes probably the best quality of Hom Mali."
1047,"Spray - Home & Office Air Freshener, Cool Surf Blue",Cleaning & Household,Fresheners & Repellents,Aer,126.65,149,Air Freshener,4.2,"Cool Surf Blue This fragrance is inspired by the smooth sea breeze flowing over coral reefs in Mauritius. It just can't get breezier than this. Godrej aer spray Here's Godrej aer spray room freshener and here's what we would like you to know about it. You'd agree it doesn't look like any ordinary room freshener and once you get a whiff of the fragrance, you'll agree it doesn't smell ordinary either. A must-have air freshener for your home & office, Godrej aer spray is easy to use and long-lasting. It is available in six designer fragrances - Petal Crush Pink, Fresh Lush Green, Misty Morning Meadows, Violet Valley Bloom, Cool Surf Blue and Musk After Smoke. You can now choose the one that fits your mood."
1048,"Natura Rice & Walnut Drink, Vegan",Gourmet & World Food,Drinks & Beverages,BORGES,275.01,349,Health Drinks,4.5,
1049,Dri Damage Protect Hair Styling Gel,Beauty & Hygiene,Men's Grooming,Brylcreem,72,80,Hair Care & Styling,4.6,"A man’s hair is the biggest giveaway to his character and craft. That's why the new Brylcreem Dri-Damage Protect Styling Gel, from the makers of the most iconic hair grooming products across the world, is enriched with the perfect blend of rich ingredients such as Glycerol that moisturises and gives your hair 24 hr wet look, moisturisation and flexible hold, reducing damage due to dryness. The new Brylcreem Dri-Damage Protect hair styling gel is ideal to give your hair that perfect wet look so that it looks fresh throughout the day. This high-performance hair styling gel is designed to deliver during the course of a hard day’s work without compromise. It is a product that delivers an unmistakable, unbeatable wet look to the hair, for that timeless classic look while protecting it from damage due to dryness."
1050,Organic - Tamarind/Hunisehannu Whole,"Foodgrains, Oil & Masala",Organic Staples,Phalada Pure & Sure,195,195,Organic Masalas & Spices,4.1,"Pure & Sure is a range of Certified Organic Foods Products from Phalada Agro, It is a natural step to extend our know-how and expertise of Organic food, to provide the consumer a healthy and delectable experience of Pure organic food, The 'ethos' of the brand lies in the name itself which urges you to, ""Take a step towards a more healthy living"",Unlike many others, Pure & Sure is a healthy result of a seamless effortof Phalada Agro which is involved throughout the supply chain, right from the development of Organic Agri-inputs to a nourishing finalproduct which reaches your kitchen, By choosing to go the organic way, here's how Pure & Sure contributes to your health No more chemical concoctions entering your body An authentic taste at all meals, A surge of vitamins, minerals."
1051,Air Freshener Spray Bottle - Aromas of Kashmir,Cleaning & Household,Fresheners & Repellents,Air wick,146,161,Air Freshener,3.9,"We know that you put your heart and soul into making your home beautiful. You connect deeply with the sights and sounds that surround you everyday, which you have gathered as a child or on your travel across India. The new Airwick Scents of India air fresheners are inspired by the beautiful fragrancesone can find in India that is guaranteed to add to the beauty of your home by elevating and instantly freshening the air."
1052,Bread - Pav,"Bakery, Cakes & Dairy",Breads & Buns,English Oven,30,30,"Buns, Pavs & Pizza Base",3.5,Perfectly baked fresh pav
1053,"Plastic Container - Printed, Crystal, 14803-P","Kitchen, Garden & Pets",Storage & Accessories,Ratan,579,855,Containers Sets,4.4,"These plastic containers are elegant and perfect storage purpose. These are BPA free and airtight containers that can be used in the microwave. Give your kitchen a fresh look with the varied range of containers. These are suitable for keeping pickle, dry fruits, cookies, wet and dry food, etc."
1054,Wildberry Fruit Flavoured Candies,Gourmet & World Food,Chocolates & Biscuits,Skittles,95,100,International Chocolates,4.2,"Looking for something fun and crazy to do? Don't worry, Skittles got you covered. This candy lets you find out your own funny bits and create a world where people laugh more and are not scared of trying anything unique. Wild Berry Skittles, with its distinctive rainbow colours and fruity flavours, makes all your moments super fun and your mood, comic! These candies with their colourful nature give you the chance to taste the rainbow. Each candy lentil is made of a crisp sugar shell and is flavoured in Lemon, Apple, Grape, Strawberry and Orange tangs. There is no one way to have fun with these candies, enjoy them while working from home, in-between your movie marathon or give them as a gift. Add these wonderful flavours of Skittles fruit candy to your candy buffet or to your favourite dessert! Also try, Skittles Original to strike it up a notch. Hit the rainbow with Skittles candies."
1055,Puff - Pastry Sheet,Snacks & Branded Foods,Frozen Veggies & Snacks,Unroll,179,179,Frozen Veg Snacks,4.3,"Unroll puff pastry sheet is uncooked layers of dough and margarine which is rolled and freezed. Just thaw it, unroll and cut it to needed sizes. Fill with stuffing and bake."
1056,Breathe Free Capsules,Beauty & Hygiene,Health & Medicine,ORGANIC INDIA,225,225,Supplements & Proteins,3.5,"This Breathe Free capsules effectively relieves asthma, chronic obstructive pulmonary diseases (COPD) and other respiratory complications with no adverse side effects. Also, naturally helpful in relieving breathlessness (dyspnoea) and coughing."
1057,"Gas Stove-3 Burner Royale Plus Schott Glass, Black (40177)","Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,6999,10695,Gas Stove,3.5,"Prestige Royale Plus Gas Stove. Add a Touch of European Excellence to your Kitchen! The Stunning new Prestige Royale Plus range of gas tables is designed to combine maximum convenience with great looks. These gas tables are a combination of performance and stunning looks. The experience of SCHOTT Glass coupled with superior German manufacturing standards ensures that you get the finest quality glass. The SABAF valves imported from Italy, are best on quality and are designed to provide smooth functioning. The Glass top adds to the aesthetics of your Kitchen. Also, they are durable and long-lasting which will give you a trouble-free and safe operation. Warranty on the complete product is of 2 years and warranty on SCHOTT glass is for Lifetime."
1058,Cycloherb - Ayurvedic Capsules for PCOD/PCOS,Beauty & Hygiene,Health & Medicine,Dr. Vaidya's,400,400,Ayurveda,3.5,"Dr Vaidya, Cycloherb is a combination of 32 herbs that balances the hormone levels in women and thus helps regulate the menstrual cycle. The product is used to reduce the pain of menstrual cramps, control hormonal imbalances and reduce the level of hyperacidity caused by menstruation. The product is also known to be a uterine tonic and helpful in vaginal as well as urinary tract problems."
1059,Nanda Deep Brass Diya Oil Lamp Puja S7 - Golden,Cleaning & Household,Pooja Needs,HAZEL,89,299,Lamp & Lamp Oil,3.8,Accentuate your pooja room with addition of this stunning Pooja accessories from Hazel. Featuring durable steel construction.
1060,Salted Almonds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Tong Garden,297.5,350,Dry Fruits & Berries,3.5,"Almonds are nature's way of showing us that good things come in small packages. These bite-size nutritional nuts are packed with protein, vitamins and dietary fibre. They offer a healthy and tasty alternative to fuel our active lifestyle. Taste the great flavour salted almonds today! Each savours bite is a tribute to the smooth, distinct flavour of the almond. Almonds contain lots of healthy fats, fibre, protein, magnesium and vitamin E. The health benefits of almonds include lower blood sugar levels, reduced blood pressure and lower cholesterol levels. They can also reduce hunger and promote weight loss."
1061,Red Rice Poha - Thick,"Foodgrains, Oil & Masala",Rice & Rice Products,Tata Sampann,59.5,70,"Poha, Sabudana & Murmura",4,"Tata Sampann Red Rice Poha (Thick) which is made from the nutritionally rich red rice & Rich in natural trace minerals like potassium, calcium and magnesium. Tata Sampann Red rice is made from Red Rice & Dietary fibre is an essential part of a healthy and balanced diet. Tata Sampann Red Rice poha contains high fibre and is also a source of iron, Iron helps fighting anaemia and in haemoglobin formation."
1062,Exfoliating Body Wash - Coconut Joy,Beauty & Hygiene,Bath & Hand Wash,Palmolive,211.65,249,Shower Gel & Body Wash,4.3,"A creamy body wash with Coconut extract - its rich formula helps exfoliate your skin, leaving it moisturised and deliciously scented. Its soft scrubbing action with crushed coconut extract effectively minimises skin dryness and helps retain your natural skin moisture. It is perfect to give you beautifully radiant skin."
1063,Cocoa,Snacks & Branded Foods,Ready To Cook & Eat,Weikfield,153,165,Home Baking,4.2,"Rich, fragrant and delicious, Weikfield Cocoa has been a market favourite. This low fat cocoa powder is the perfect ingredient for all sorts of chocolate flavoured confectioneries, sauces and desserts."
1064,Noni Fruit Powder - Supports Healthy Cellular Tissue Growth,Beauty & Hygiene,Health & Medicine,Bixa Botanical,195,195,Ayurveda,3.5,"Noni also known as Indian Mulberry is the Hawaiian name for the Morinda citrifolia botanical plant, an evergreen shrub that probably originated in Southeast Asia and has spread throughout Oceania. As Noni Berry is pungent and bitter, it was only eaten during times of famine. However, Polynesians used the noni berry widely as a dye and to treat wounds, inflammations, infections and other ailments. Noni is sometimes known as a superfood because of its constituents like phytochemicals, antioxidants, polysaccharides, flavonoids, fatty acids, and catechins. Morinda contains different amino acids, as well as a significant amount of other nutrients. These nutritive compounds protect cells from oxidative damage caused by free radicals, which helps reduce the risk for premature aging and chronic conditions like heart disease."
1065,Organics Herbo Protein Powder,Beverages,"Health Drink, Supplement",18 Herbs,300,300,Men & Women,3,"The amazing herb-mucuna pruriens is well known for strengthening vitality & all around beneficial properties. Perhaps it is best known as a potent herbal aphrodisiac. Mucuna pruriens contains high concentrations of l-dopa, a neurotransmitter that prompts positive mental state of action & assertiveness mucuna pruriens powder assists in brain function, libido & supports muscle growth."
1066,Four Blades Pack,Beauty & Hygiene,Men's Grooming,Uncle Tony,599.25,799,Shaving Care,3.5,"A man does not need pick-up lines, he just needs Uncle Tony blades. Featuring amorphous diamond coating that provides comfort and safety, each cartridge is a 5 blade system and comes with a precision trimmer on the back. Sharp as your wit, these blades are perfectly engineered to give you the finest shave."
1067,Matic Stain Champion Front & Top Load,Cleaning & Household,Detergents & Dishwash,Henko,200,200,"Detergent Powder, Liquid",4,"Henko discovered a revolutionary solution to all your clothes problems, including, colour loss, fading and stain removal. The powder texture is soft and smooth with a fine perfume scent that gives you a whole new washing experience while giving your shirt a new look and protecting it from ageing. This detergent can be used for both Front and Top Load."
1068,Children's Shampoo,Baby Care,Baby Bath & Hygiene,Sebamed,192,192,Baby Oil & Shampoo,4.5,"Sebamed children's shampoo has pH of 5.5 and has sugar based mild cleanser. Other children shampoos have pH>7 and chemicals like formaldehyde, phthalates, SLS which leads to allergic reactions. At pH 5.5 alone the scalp barrier remains intact. It has been clinically proven that only at pH 5.5, the scalp is hydrated and strengthens scalp for optimal hair growth. Lipid and moisture loss is minimum and the growth of Malassezia which leads to dandruff is restricted. Sebamed children's shampoo is free from irritants and hence has 0% incidences of irritant reactions. Sebamed children's shampoo contains a botanical ingredient, hence the reported incidence of allergic reaction is 0.000003%. Only at pH5.5, the baby's delicate eyes are not irritated and the tear-free formula is free from formaldehyde. Sebamed children's shampoo is ideal for cradle cap, seborrheic dermatitis and dandruff."
1069,Chicken Overload Pizza - Large,Snacks & Branded Foods,Frozen Veggies & Snacks,HappyChef,345,549,Frozen Non-Veg Snacks,3.5,"These are ready to bake, authentic Italian Style Pizzas. Each Pizza is a large pizza of 8.5-9.5 inches. Now make delicious artisanal pizzas at home, in just 15 minutes with Happy Chef Pizza. Our Chicken Overload Pizza loaded with premium-quality ingredients and yummy mat toppings like chicken sausage, chicken tikka, peri-peri chicken and cheese is sure to delight your taste buds. Simply bake it in the oven or microwave or just cook it on the tawa, and enjoy delicious pizzas in minutes. Pizza is Italian cuisine with lovers all around the world. Enjoy the delicious taste of pizzas from Happy Chef, a well-known pizza brand. Nothing beats a slice of a pizza to be your companion when you are all alone or enjoying yourself with your loved ones. You can have it for any occasion with friends and family."
1070,"Plastic Bucket With Handle - Blue, Super Saver, 10170B",Cleaning & Household,Bins & Bathroom Ware,Ratan,150,150,Buckets & Mugs,4,"These buckets come in a varied range and are strong yet lightweight. These buckets can be used for indoor needs like bathroom bucket, home cleaning bucket, water storage as well as outdoor purposes like gardening, cleaning etc. It comes with a range of capacities and colour options."
1071,Instant Popcorn Value Pack - Cheese,Snacks & Branded Foods,Snacks & Namkeen,ACT II,100,100,Chips & Corn Snacks,4.1,"Enhance your movie-watching experience, in the comfort of your own home with World’s No. 1 ACT II popcorn. ACT II popcorn is easy to make. In only 3 minutes, enjoy Hot n Fresh n delicious popcorn along with the delightful popcorn aroma. You can choose among different pack sizes such as individual packs, family packs and party packs, as per your need. Relish your favourite ACT II popcorn, now available in various lip-smacking desi flavours such as butter, Sweet Pani Puri, Tandoori Tadka, Southern Spice, Butter pepper as well as international flavours such as Cheese Delite, Peri Peri, Thai Sweet Chilli and Tomato Chili."
1072,100% Spanish Olive Oil,Gourmet & World Food,Oils & Vinegar,Sol,4020,5025,"Pure, Pomace Olive Oil",3.5,"Spain’s geography and climate with extensive mountain slopes, mild or cold winters, and long, hot summers are ideal for olive cultivation. More than 350 million olives are grown all over Spain. Spain is also the world’s leading source of the golden juice of the olive fruit, the essence of Mediterranean cuisine. Advanced growing systems, dripirrigation, integrated production and environmentally friendly growing practices lead to almost perfect fruits which are harvested at their optimum ripeness. With Sol, we offer you exceptional products of 100% Spanish origin, ranging from traditional ingredients for authentic recipes to modern ingredients for Avant grade cuisines. We have travelled across the Spanish countryside to select the finest olive oil. Sol Olive oil has a rich aroma and delightful flavour that will enhance your Mediterranean recipes."
1073,Platina - Nutricrunch Digestive Marie,Snacks & Branded Foods,Biscuits & Cookies,Parle,15,15,"Marie, Health, Digestive",4,"Simply Good living is all about appreciating the little joys in life. It's about eating for the mind, body and soul. Which is why healthy eating should be a priority, but not a task. We believe in mindful eating where you simply enjoy what you eat, rather than worrying about what's healthy and what's not.A digestive rich in fibre, minerals and vitamins, Nutricrunch is your choice for a healthy day.Also, try our Digestive Marie and Lite Cracker variants."
1074,White Perfect - Clinical New Skin Essence Lotion,Beauty & Hygiene,Skin Care,Loreal Paris,995,995,Face Care,3.5,"L'Oreal Paris White Perfect Clinical New Skin Essence Lotion that is enriched with a dermatological active to enhance radiance, skin tone and skin texture for a healthier & younger look. Inspired by advanced clinical procedures.A powerful concentrated white perfect essence water to activate skin regeneration and enhance skin fairness. Go beyond spotless skin with 3 additional benefits increased radiance, flawless skin tone & refined skin texture. Glycolic Acid, Hepes & Vitamin CG to smoothen skin texture, stimulate skin renewal & remove spots.Dermatologically tested. Suited for oily, dry & all skin types."
1075,Sona Masoori Boiled Rice,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,1174,1500,Boiled & Steam Rice,3.5,"Sona Masoori rice is known to has small percentages protein while being low in fat and cholesterol. Furthermore, it is a good source of carbohydrates. Incorporate the goodness of Sona Masoori rice in you're diet which will satisfy you're rice cravings along with enriching you're diet. It is lightweight and sweet- smelling and measured to be of the finest quality. It has a thistinctive taste that is not matched by rice from any other region. It is the tastiest of all the Sona Masoori rice available in the state."
1076,Sugar Free Digestive Cookies - Vanilla Butter,Gourmet & World Food,Chocolates & Biscuits,Sugarless Bliss,100,100,Crackers & Digestive,4.4,"Sugarless Bliss digestive cookies - vanill butter are fortified with vitamins and minerals. It contain zero cholesterol, no trans fat and prebiotic. Suitable for diabetics and dieters."
1077,Lavender Try Me Personal Care Gift Set,Beauty & Hygiene,Bath & Hand Wash,Soulflower,850,1000,Bathing Bars & Soaps,5,"Gift yourself or your loved ones Soulflower Lavender Try Me Bath set. Soulflower bath & body products provide you with your very own spa at home. The products range in our gift set are formulated by combining precious essential oils with the blend of natural and organic ingredients. The idea behind the whole creation is to provide you and your dear ones the natural and vegan skin care products which are healthy, regenerating and maintain body and skin balance.Lavender is one of the most well-known, versatile, and extensively used essential oils in the world. When we use lavender essential oil, we receive the blessings of the feminine, because lavender could be described as an angel of healing from the floral realm and an expression of the earth's compassion. Lavender oil is one of the safest of all essential oils."
1078,Valse Juice/water Glass Tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery,Pasabahce,539,666,Glassware,2.8,These glasses are tempered or toughened glassware for maximum safety of food service professionals as well as for the superior resistance and durability. Enhance the beauty of your in-house bar or your kitchen with this perfectly crafted crockery.
1079,Avocado Oil,Beauty & Hygiene,Skin Care,ST. D'VENCE,899,899,Aromatherapy,5,"St. D'vence 100 % pure and natural avocado oil is a rich source of amino acid, essential fatty acid, and Vitamin A, D and E providing adequate moisture to the epidermal layers and nourishing the skin while deeply penetrating the scalp providing effective results. It also acts as a shield from harmful ultraviolet rays acting as a useful anti-tanning and sun-burn therapy. This cold pressed natural oil is ideal for daily use and can be used as a massage oil, aromatherapy oil or carrier oil. It blends seamlessly with essential oils or any mix ins. Create your own DIY scrub, mask or aromatherapy solution with this versatile oil. Rich in ethically sourced ingredients which comes with a host of skin, hair and health benefits. It works excellently as a skin nourishment and can be used as a face and body moisturiser as well."
1080,Bleach Pen Gel,Cleaning & Household,All Purpose Cleaners,Clorox,400,400,Floor & Other Cleaners,3.3,"Clorox Bleach Pen Gel is the ultimate portable stain remover, with a fine point for precision cleanup jobs, and a scrub brush for larger ones. It works on household surfaces and laundry alike, so you can just write off stains for good, wherever they are."
1081,Assorted Cookies,Gourmet & World Food,Chocolates & Biscuits,Tasties,148.11,235,"Cookies, Biscotti, Wafer",3.5,"Baked to perfection, Tasties cookies are crunchy and tasty. Made with rich, creamy butter, Tasties Butter Cookies are loved by people of all ages. These cookies can be enjoyed as a snack or with a hot cup of tea or coffee."
1082,Pure Melamine Round Dinner Plate - Golden Paisley,"Kitchen, Garden & Pets",Crockery & Cutlery,Servewell,210,210,Plates & Bowls,3.5,"Servewell presents you with the 100% food grade melamine crockeries that are dishwasher safe and break resistant. These are durable, non-toxic and hygienic. This plate set is the perfect crockery item for serving snacks and other edibles which are guaranteed to impress your guests. It is made of melamine and is strong, dishwasher safe, and easy to maintain. It is food grade certified and will provide a healthy and hygienic dining experience."
1083,GF Chocochip Cookie,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Bon & Bread,57,57,"Bakery Biscuits, Cookies",3.2,"Bon and Bread is your access to premium French bread and bakes. The 'Bon and Bread' Gluten Free Chocochip Cookies are filled with dark chocolate chips. Indulgence without the guilt! Baked to perfection, other gluten-free products include Sorghum sliced Bread, pizza base, tea cakes, etc. Made in a facility that processes nuts and gluten. Gluten-free products are made in isolation from other products to avoid any gluten contamination. -High on taste, baked to perfection."
1084,Anti Germ Liquid Detergent,Cleaning & Household,Detergents & Dishwash,Safewash,290.23,470,"Detergent Powder, Liquid",4.3,New Safewash Anti-Germ gives your clothes complete protection keeping them germ-free and looking like new. Wipro Safewash's unique 99% germ protection formula hygienically cleans your clothes. It is ideal for all fabrics. it is perfect for all your colours.
1085,Masala - Fish Curry,"Foodgrains, Oil & Masala",Masalas & Spices,Annapoorna,22,22,Blended Masalas,4.4,Annaporna Spices are the preserve for Connoisseurs of authentic and pure ground Flovours & Aromas.
1086,"Select - Chai Masala, Ginger","Foodgrains, Oil & Masala",Masalas & Spices,Valley Spice,49.5,55,Powdered Spices,4.1,"Valley Spice Chai Masala is a spice blend designed to enhance the taste of Chai while providing health benefits of the spices. It can be used for other beverages such as Masala Milk, coffee, juices or concoctions. So enjoy your tea time double with this chai masala which adds an authentic taste to your tea."
1087,Sona Masoori Rice/Akki Raw Rice/Akki - Super Premium,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,499,750,Raw Rice,3.5,"Sona Masoori rice is known to have small percentages of protein while being low in fat and cholesterol. Furthermore, it is a good source of carbohydrates. Incorporate the goodness of Sona Masoori rice in your diet which will satisfy your rice cravings along with enriching your diet. It is lightweight and sweet-smelling and measured to be of the finest quality. It has a distinctive taste that is not matched by rice from any other region. It is the tastiest of all the Sona Masoori rice available in the state."
1088,Good Day Cashew Cookies,Snacks & Branded Foods,Biscuits & Cookies,Britannia,53.64,60,Cookies,4.2,Britannia Good Day Cookies - Rich Cashew is 100% vegetarian and are very delicious. It has a good flavour of cashew nuts. These extra crispy cookies are prepared from real butter and are a pleasure for anyone at all times of the day.
1089,Basic Blue Man Deodorant,Beauty & Hygiene,Fragrances & Deos,Nike,265.05,279,Men's Deodorants,3.5,"The Nike fragrance range embodies the fresh spirit of adventure and youth. Like the brand logo Just do it! Nike deo fragrances embody the spirited and gentle at the same time bringing strength and comfort to oneself and to people around. Classified as a refreshing, cooling and adventure rush, they are recommended for everyday wear."
1090,Orange Dia Jam,Gourmet & World Food,"Sauces, Spreads & Dips",Prasukh,144,160,"Jams, Marmalade, Spreads",1,"The American Diabetes Association has listed citrus fruits among Diabetes superfoods. According to the association, Oranges are full of fibre, vitamin C, folate and potassium, which would help benefit a healthy diabetic eating plan. Although they're sweet, oranges are actually low on the glycaemic index (GI), according to the American Diabetes Association (ADA). And the lower a food's GI, the less it affects blood sugar and insulin levels. These goodness of Oranges/ orange Juice are packed in this jam, with the additional nutritional elements of the chia seeds."
1091,"Reusable Fabric Diaper - Medium, Pink",Baby Care,Diapers & Wipes,Paw Paw,269,269,Diapers,3.5,"India's no.1 reusable diaper, Paw Paw Fabric Diaper is highly absorbant, less susceptible to skin rashes & skin allergies, unlike disposable diapers. The reusable diaper is an eco-friendly diapering option that helps to reduce disposable waste in our landfills. It has a reusable printed outer shell and super-absorbent reusable insert pad. It is very gentle for your little one's skin."
1092,"3-In-1 Aluminium Pressure Cooker - Smart, Induction Base, Hard Anodised, Black","Kitchen, Garden & Pets",Cookware & Non Stick,United,2719,3199,Pressure Cookers,3.8,"This is a multi-utility pressure cooker from United with the new range of 3-in-1 where you can now saute, steam, fry, boil and pressure cook. This pressure cooker has the capacity to cook, strain, and serve. The hard anodised surface doesn't stain. The non-toxic nature of the cooker assures you hygienic cooking experience."
1093,Exo Round Dish wash bar - Round ( with free scrubber),Cleaning & Household,Detergents & Dishwash,Exo,39,43,Dishwash Bars & Powders,4.3,"Exo Dish Shine Bar is yet another offering that draws on the wealth of experience from the R & D division of Jyothi laboratories. This product not only cleans your utensils, but also protects them from bacteria and harmful germs. It is fortified with powerful anti-bacterial agents and kills disease-causing bacteria that enter your food through the contamination of vessels. The powerful formula removes sticky oil stains, grime, and stubborn burnt food residues from utensils and makes them safe and sparkling. You no longer have to spend hours in your kitchen washing utensils! The fast action formula with the hyper-cleaning technology quickly removes the toughest of stains and makes your vessels shine like never before. Exo Dish Shine Bar works hard on stains and grease, keeping your utensils shining and fresh."
1094,Laxinol H,Beauty & Hygiene,Health & Medicine,Kerala Ayurveda,430,430,Ayurveda,3.5,"Laxinol-H Capsule is a proprietary natural laxative designed to provide relief from occasional and habitual constipation. Formulated using well known herbal laxatives, Laxinol-H Capsule is conductive to promote digestive regularity. The combination of herbs in Laxinol-H also helps combat digestive problems such as bloating, flatulence & heartburn. It is non-habit forming, devoid of gastric irritation and helps in a smooth evacuation, normally."
1095,Californian Almonds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Disano,249.01,395,Dry Fruits & Berries,3.5,"DiSano brings a range of healthy & delicious products from across the globe straight to your kitchen. With DiSano, you can be sure of our commitment to the highest quality standards every time. Our wide range of nuts and dried fruits that are filled with the goodness of nature & numerous health benefits. Our gourmet foods are naturally sourced, handled with care and skilfully packed to reach fresh & intact to you. Explore our healthy and wholesome nutritional dried fruits and nuts."
1096,Chai/Opalware Coffee Mug Set - Silken Charms,"Kitchen, Garden & Pets",Crockery & Cutlery,LaOpala,359,395,"Cups, Mugs & Tumblers",3.1,"It is ideal for serving guests and home use. Laopala is a brand that is an essential part of our lives. At home or in the office, its the symbol of elegance, creativity and reliability with its wide product range, functionality, innovative perspective, distinctive designs and 80 years of experience. Enhance the beauty of your in-house bar or your kitchen with this perfectly crafted crockery."
1097,Juice Drink With Nata De Coco - Mango,Gourmet & World Food,Drinks & Beverages,Dolphin ,50,50,Gourmet Juices & Drinks,3.5,Captain Dolphins Mango Juice with Nata De Coco is the perfect mix of sweetness and goodness. Every sip is a unique experience that transport you far into the tropical forest where you find only the finest and sweetest mangoes. To top it off are the bits of nata de coco which only enhances your unique experience. Pick one up today and we guarantee our mango is sure to make you tango!
1098,Keto Noodles,Gourmet & World Food,"Pasta, Soup & Noodles",Ketofy,399,399,Pastas & Spaghetti,1.8,"Ready to cook instant Noodles with authentic Asian flavours to cater to everyone's tastes. Ketofy - Noodles are the lowest carb noodles, to satisfy your guilty pleasures without kicking you out of Keto. Ketofy - Noodles are a blessing for all people on a Ketogenic Diet, Low Carb Diet, LCHF Diet, High Protein Diet or a Gluten-Free Diet and have a knack for eating Chinese favours. Whether you're a bodybuilder, an endurance athlete, a yoga mom, or just trying to cut carbs from your diet, these delicious treats are the perfect snack for anyone who wants to satisfy their cravings without the guilt. Ketofy is the leader in all Ultra Low Carb Keto Food preparations. We create a wide variety of Keto Cookies Supplies, Ketogenic Snacks, Keto Diet Munchies including -Keto Flour -Keto Chocolate Cookies -Keto Coconut Cookies -Keto Cinnamon Cookies -Keto Chocolate Chip Cookies -Blended Almond Cookies (Keto Friendly)"
1099,Chai / Coffee/ Tea-Milk Mug - Sea With Ship Print,"Kitchen, Garden & Pets",Crockery & Cutlery,Rslee,299,299,"Cups, Mugs & Tumblers",3.5,"This lovely multicoloured mug is an appealing coffee holder for daily use from the house of Rslee Ceramics. The mug is made using the ceramic material that makes the mug lightweight, so if you hold for long it doesnt strain your hands. The funky owl print on the mug creates an alluring appearance. The mug has an ideal capacity size. So relish the coffee- hot chocolate in the cold weather."
1100,Hand Sanitizer,Beauty & Hygiene,Bath & Hand Wash,Varam,125,125,Hand Wash & Sanitizers,4.7,Varam Hand Sanitiser is 70% Ethanol based premim hand sanitiser. Product meets WHO standards and is having refreshing colgone fragrance. Kills 99.9% germs without using water or soap. Rub across all fingers and tips carefully.
1101,Dried Shiitake Mushrooms,Gourmet & World Food,Cooking & Baking Needs,Urban Platter,405,450,"Herbs, Seasonings & Rubs",3.5,"Shiitake Mushroom The Chinese have used the shiitake mushroom for medicinal purposes for over 6,000 years	 consequently, it has become the Asian symbol for longevity. This particular type of edible fungus is the second most commonly cultivated mushroom in the world. With its rich sources of selenium, iron, dietary fibre, protein and vitamin C, research has shown significant benefits in adding shiitake mushrooms to your diet.Â Preparing Shiitake Mushrooms â€“ The shiitake is a versatile food that can be incorporated into a variety of dishes. You can buy these mushrooms raw, cooked or dried. Because theyâ€™re becoming more popular due to their nutritional value, you can find shiitake mushrooms at most grocery stores."			
1102,Fresh Aqua,Beauty & Hygiene,Men's Grooming,Fogg ,220,275,Men's Deodorants,4.6,"Soothing experience throughout the day, Consists of refreshing & Long lasting fragrance. For Beauty tips, tricks & more visit https://bigbasket.blog/"
1103,Smile Joy Bathroom & Car Freshener - Twin Pack,Cleaning & Household,Fresheners & Repellents,Odonil ,50,50,Air Freshener,4,"New Odonil Smile JOY fragrance will recreate the Spanish sunset and is sure to bring a smile on your face. With Odonil smile give your day a perfect smile filled start. Odonil Smile has special international fragrance perfumes that promise to transform the spaces around you. It can be used in bathrooms, car, bedrooms, wardrobes, kitchen, shoe racks etc. Now your house will always smell good and refreshing with this pouch."
1104,Chaste Noir Eau De Toilette For Men,Beauty & Hygiene,Fragrances & Deos,Dorall Collection,419.3,599,Eau De Toilette,3.5,"Chaste Noir by Dorall Collection is a woody musky fragrance which starts with the fresh notes of watermelon, has heart notes of basil, verbena and lavender. It ends with the warm base notes of chocolate, tonka beans and patchouli."
